CODE2,CODE1,CODEBASE,AREA_SUM,L01_SUM,L0101,L0102,L0103,L0104,L02_SUM,L0201,L0202,L0203,L0204,L0205,L0206,L0207,L03_SUM,L0301,L0302,L0303,L0304,L0305,L0306,L04_SUM,L0401,L0402,L0403,L0404,L0405,L0406,L05_SUM,L0501,L0502,L0503,L0504,L0505,L0506,L0507,L0508,L06_SUM,L0601,L0602,L0603,L0604,L0605,L0606,L07_SUM,L0701,L0702,L0703,L08_SUM,L0801,L0802,L0803,L09_SUM,L0901,L0902,L0903,L0904,L0905,INFO_TIME
二級發布區代碼,一級發布區代碼,最小統計區代碼,土地面積總數,農業利用土地總數,農作使用,水產養殖,畜牧,農業相關設施,森林利用土地總數,針葉林,闊葉林,竹林,混淆林,灌木林,待成林地,其他森林利用土地,交通利用土地總數,機場,一般鐵路及相關設施,高速鐵路及相關設施,捷運及相關設施,道路及相關設施,港口,水利利用土地總數,河道及溝渠,蓄水設施,水道沙洲灘地,水利構造物,防汛道路,海面,建築利用土地總數,商業,純住宅,混合使用住宅,製造業,倉儲,宗教,殯葬設施,其他建築用地,公共利用土地總數,政府機關,學校,醫療保健,社會福利設施,公用設備,環保設施,遊憩利用土地總數,文化設施,公園綠地廣場,休閒設施,鹽礦利用土地總數,礦業及相關設施,土石及相關設施,鹽業及相關設施,其他利用土地總數,溼地,草生地,裸露地,營建剩餘土石收容處理相關設施,空置地,資料時間
A1007-08,A1007-08-025,A1007-0412-00,108160.118,8999.765,8999.765,,,,42069.987,,41416.097,653.89,,,,,3834.07,,,,,3834.07,,35756.474,14665.835,,,14290.949,6799.69,,2301.438,324.45,1690.328,,,237.299,49.361,,,,,,,,,,1437.457,,1437.457,,,,,,13760.927,,11526.858,,,2234.069,"111Y"
A1007-11,A1007-11-015,A1007-0413-00,153656.469,135645.077,131481.478,,,4163.599,732.178,,732.178,,,,,,5323.343,,,,,5323.343,,5661.397,2577.671,,,1429.052,1654.674,,,,,,,,,,,,,,,,,,,,,,,,,,6294.474,,,,,6294.474,"111Y"
A1007-11,A1007-11-017,A1007-0414-00,193083.701,175863.785,137598.836,,7724.828,30540.121,1718.598,,1718.598,,,,,,9089.53,,,,,9089.53,,1298.032,1298.032,,,,,,3570.228,0.003,3570.225,,,,,,,,,,,,,,,,,,,,,,1543.528,,,,,1543.528,"111Y"
A1007-10,A1007-10-027,A1007-0415-00,152508.357,,,,,,,,,,,,,,352.643,,,,,352.643,,502.344,,,,,502.344,,151653.37,,,,144177.564,,,,7475.806,,,,,,,,,,,,,,,,,,,,,,"111Y"
A1007-11,A1007-11-018,A1007-0416-00,27452.515,12424.554,12060.732,,,363.822,,,,,,,,,3549.995,,,,,3549.995,,,,,,,,,9670.034,2404.578,6433.445,132.98,,442.135,,,256.896,,,,,,,,916.375,,32.038,884.337,,,,,891.557,,,,,891.557,"111Y"
A1007-10,A1007-10-029,A1007-0417-00,299917.586,125342.389,125342.389,,,,98783.696,,98783.696,,,,,,23362.731,,,,,23362.731,,25032.325,22021.491,,,3010.834,,,2102.429,111.58,238.929,,1366.443,69.899,315.578,,,43.947,,,,,,43.947,50.312,,50.312,,,,,,25199.757,,15571.229,,,9628.528,"111Y"
A1007-11,A1007-11-016,A1007-0418-00,128440.572,99373.263,90794.375,,195.51,8383.378,,,,,,,,,12976.851,,,1778.918,,11197.933,,,,,,,,,15481.851,,13571.868,,96.519,1377.035,57.819,,378.61,,,,,,,,,,,,,,,,608.607,,,,,608.607,"111Y"
A1007-11,A1007-11-019,A1007-0419-00,38835.879,4852,4721.615,,16.06,114.325,,,,,,,,,4111.738,,,,,4111.738,,,,,,,,,28268.003,44.084,24769.833,393.889,,586.082,978.728,,1495.387,,,,,,,,316.832,,316.832,,,,,,1287.306,,,,,1287.306,"111Y"
A1007-11,A1007-11-018,A1007-0420-00,27928.228,1652.775,1639.613,,,13.162,,,,,,,,,3925.733,,,,,3925.733,,,,,,,,,17179.289,457.871,15364.701,,,742.377,7.3,,607.04,195.563,,,,195.563,,,3020.811,,3020.811,,,,,,1954.057,,,,,1954.057,"111Y"
A1007-11,A1007-11-020,A1007-0421-00,463377.256,336719.081,324392.995,,,12326.086,17877.315,,16809.048,1068.267,,,,,10103.306,,,,,10103.306,,62145.146,22297.038,,1059.38,28359.799,10428.929,,5250.848,,2023.563,1.512,,1897.731,84.433,1243.609,,891.955,891.955,,,,,,,,,,,,,,30389.605,,29288.023,,,1101.582,"111Y"
A1007-11,A1007-11-021,A1007-0422-00,108715.188,90726.153,85879.811,,,4846.342,1822.467,,1822.467,,,,,,3645.105,,,,,3645.105,,6455.689,,,,3212.639,3243.05,,6065.774,,,,,,,6065.774,,,,,,,,,,,,,,,,,,,,,,,"111Y"
A1007-11,A1007-11-022,A1007-0423-00,323873.998,242311.03,204415.595,,8421.608,29473.827,1872.282,,1872.282,,,,,,35105.291,,,7380.168,,27725.123,,10526.036,1693.707,,,1440.981,7391.348,,31513.803,619.28,11390.132,,275.072,629.327,1025.646,17087.731,486.615,121.595,,,,,,121.595,80.627,,80.627,,,,,,2343.334,,,,,2343.334,"111Y"
A1007-10,A1007-10-027,A1007-0424-00,114357.021,0.097,0.097,,,,1.25,,1.25,,,,,,3096.288,,,,,3096.288,,,,,,,,,111259.386,,,,103219.15,,,,8040.236,,,,,,,,,,,,,,,,,,,,,,"111Y"
