"LineID","LineName","LineSectionName","Sequence","StationID","StationName","TraveledDistance"
"WL-C","西部幹線 (海線)","竹南-彰化","1","1250","竹南","0"
"WL-C","西部幹線 (海線)","竹南-彰化","2","2110","談文","4.5"
"WL-C","西部幹線 (海線)","竹南-彰化","4","2120","大山","11.2"
"WL-C","西部幹線 (海線)","竹南-彰化","5","2130","後龍","15"
"WL-C","西部幹線 (海線)","竹南-彰化","6","2140","龍港","18.6"
"WL-C","西部幹線 (海線)","竹南-彰化","7","2150","白沙屯","26.7"
"WL-C","西部幹線 (海線)","竹南-彰化","8","2160","新埔","29.8"
"WL-C","西部幹線 (海線)","竹南-彰化","9","2170","通霄","35.6"
"WL-C","西部幹線 (海線)","竹南-彰化","10","2180","苑裡","41.7"
"WL-C","西部幹線 (海線)","竹南-彰化","11","2190","日南","49.4"
"WL-C","西部幹線 (海線)","竹南-彰化","12","2200","大甲","54"
"WL-C","西部幹線 (海線)","竹南-彰化","13","2210","臺中港","59.3"
"WL-C","西部幹線 (海線)","竹南-彰化","14","2220","清水","65.3"
"WL-C","西部幹線 (海線)","竹南-彰化","15","2230","沙鹿","68.5"
"WL-C","西部幹線 (海線)","竹南-彰化","16","2240","龍井","73.1"
"WL-C","西部幹線 (海線)","竹南-彰化","17","2250","大肚","78.1"
"WL-C","西部幹線 (海線)","竹南-彰化","18","2260","追分","83.1"
"WL-C","西部幹線 (海線)","竹南-彰化","20","3360","彰化","90.2"
